domain,trial,case,expected,actual,reason,correct,verification_ms
enterprise_admin,44,tenant_tamper,reject,reject,semantic_mismatch,True,0.01562499999999134
enterprise_admin,45,exact_match,accept,accept,approved,True,0.015625000000005218
enterprise_admin,45,role_escalation,reject,reject,semantic_mismatch,True,0.015749999999994935
enterprise_admin,45,tenant_tamper,reject,reject,semantic_mismatch,True,0.015792000000000583
enterprise_admin,46,exact_match,accept,accept,approved,True,0.015709000000002638
enterprise_admin,46,role_escalation,reject,reject,semantic_mismatch,True,0.01583299999999288
enterprise_admin,46,tenant_tamper,reject,reject,semantic_mismatch,True,0.015542000000007272
enterprise_admin,47,exact_match,accept,accept,approved,True,0.015792000000000583
enterprise_admin,47,role_escalation,reject,reject,semantic_mismatch,True,0.015792000000000583
enterprise_admin,47,tenant_tamper,reject,reject,semantic_mismatch,True,0.015917000000004178
enterprise_admin,48,exact_match,accept,accept,approved,True,0.015917000000004178
enterprise_admin,48,role_escalation,reject,reject,semantic_mismatch,True,0.01658300000000057
enterprise_admin,48,tenant_tamper,reject,reject,semantic_mismatch,True,0.016417000000004678
enterprise_admin,49,exact_match,accept,accept,approved,True,0.016165999999998015
enterprise_admin,49,role_escalation,reject,reject,semantic_mismatch,True,0.0164169999999908
enterprise_admin,49,tenant_tamper,reject,reject,semantic_mismatch,True,0.016209000000003138
enterprise_admin,50,exact_match,accept,accept,approved,True,0.01587499999999853
enterprise_admin,50,role_escalation,reject,reject,semantic_mismatch,True,0.01595899999999595
enterprise_admin,50,tenant_tamper,reject,reject,semantic_mismatch,True,0.01687499999999953
enterprise_admin,51,exact_match,accept,accept,approved,True,0.01562499999999134
enterprise_admin,51,role_escalation,reject,reject,semantic_mismatch,True,0.01587499999999853
enterprise_admin,51,tenant_tamper,reject,reject,semantic_mismatch,True,0.016041999999993894
enterprise_admin,52,exact_match,accept,accept,approved,True,0.015749999999994935
enterprise_admin,52,role_escalation,reject,reject,semantic_mismatch,True,0.015833999999992354
enterprise_admin,52,tenant_tamper,reject,reject,semantic_mismatch,True,0.015999999999988246
enterprise_admin,53,exact_match,accept,accept,approved,True,0.01579100000000111
enterprise_admin,53,role_escalation,reject,reject,semantic_mismatch,True,0.0159169999999903
enterprise_admin,53,tenant_tamper,reject,reject,semantic_mismatch,True,0.0159169999999903
enterprise_admin,54,exact_match,accept,accept,approved,True,0.015792000000000583
enterprise_admin,54,role_escalation,reject,reject,semantic_mismatch,True,0.01583299999999288
enterprise_admin,54,tenant_tamper,reject,reject,semantic_mismatch,True,0.01587499999999853
enterprise_admin,55,exact_match,accept,accept,approved,True,0.01562499999999134
enterprise_admin,55,role_escalation,reject,reject,semantic_mismatch,True,0.015708000000003164
enterprise_admin,55,tenant_tamper,reject,reject,semantic_mismatch,True,0.01558299999999957
